CNESource,Codigo,Nombre,Categoria,Tecnologia,Estado,FechaInst,FechaSusp,Altitud,LatDD,LongDD,Depto,Municipio,AreaOperat,Entidad,AH,ZH,SZH,Corriente,Observ,Subred
CNE,11010010,LA VUELTA [11010010],Pluviométrica,Convencional,Activa,15/01/1943,,98,"5.458944444","-76.544722222",Choco,Cértegui,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Andágueda,,Corrección por deficiencia en la georreferenciación inicial,RED ALERTAS - AREA OPERATIVA 01
CNE,11017010,AGUASAL [11017010],Limnimétrica,Convencional,Activa,15/05/1976,,75,"5.473943889","-76.537861111",Choco,Lloró,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Andágueda,Andagueda,27/12/2021$Migracion$Por Solicitud del Coordinador del AO 01. Se hacen ajustes solicitados mediante correo electrónico ya que actualmente la mesa de ayuda esta fuera de servicio.,
CNE,11017020,BAGADÓ - AUT [11017020],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,29/12/2017,,90,"5.412","-76.417888889",Choco,Bagadó,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Andágueda,Andagueda,ESTACIÓN ACTIVADA NUEVAMENTE EN SU COMPONENTE CONVENCIONAL POR SOLICITUD DEL AO. (13012023) ESTACIÓN YA CUENTA CON OBSERVADOR.|06/06/2025$mvelez$La estación fue actualizada en su estado luego de la reunión con el grupo de automatización 24/04/2025 se realiza el cambio bajo el memorando 20253080087083. ,
CNE,11020010,CARMEN DE ATRATO [11020010],Pluviométrica,Convencional,Activa,15/10/1958,,1850,"5.908527778","-76.14208333",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,,,
CNE,11020020,GUADUAS [11020020],Pluviométrica,Convencional,Suspendida,15/03/1977,15/04/2002,1500,"5.766666667","-76.18333333",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,,,
CNE,11020050,EL PINON [11020050],Pluviométrica,Convencional,Activa,15/10/1958,,715,"5.757666667","-76.25086111",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,,,
CNE,11025010,LA MANSA [11025010],Climatológica Ordinaria,Convencional,Activa,15/07/1973,,2018,"5.878305556","-76.08433333",Antioquia,Ciudad Bolívar,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,,,
CNE,11027010,PUENTE LAS SANCHEZ [11027010],Limnimétrica,Convencional,Suspendida,15/08/1972,"06/01/2016",2000,"5.851972222","-76.18080556",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,Atrato,,
CNE,11027020,OCHO EL [11027020],Limnimétrica,Convencional,Suspendida,15/04/1972,15/02/1979,900,"5.85","-76.25",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,Atrato,,
CNE,11027030,EL SIETE - AUT [11027030],Limnigráfica,"Automática con Telemetría, Convencional",Activa,15/12/1979,,2300,"5.862","-76.15205556",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,Atrato,Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación|05/06/2025$mvelez$La estación fue actualizada en su estado luego de la reunión con el grupo de automatización bajo el memorando 20253080087083,RED ALERTAS - AREA OPERATIVA 01
CNE,11027040,ARRAYANES LOS [11027040],Limnigráfica,Convencional,Suspendida,15/12/1979,10/12/2008,1500,"5.8","-76.3",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,Atrato,,
CNE,11027050,GINDRAMA [11027050],Limnigráfica,Automática con Telemetría,Suspendida,15/12/1979,"02/07/2025",75,"5.521555556","-76.51772222",Choco,Lloró,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,Atrato,"EL GRUPO DE AUTOMATIZACION REPORTA ESTACION SINESTRADA POR ANTENA GPS Y PANEL SOLAR. ESTACION SINIESTRADA (07/12/2022)|02/07/2025$mvelez$La estación está ubicada sobre el río Atrato, no tiene observador debido a que no hay poblaciones cercanas y la estación automática fue vandalizada desde 2021, por lo que desde esa fecha carece de esa información, el acceso a las miras para la operación y mantenimiento es difícil, y no hay disponibilidad de otros observadores. La calidad de las series de niveles y de caudales es deficiente.bajo memorando 20253080112483",
CNE,11027060,PINON EL [11027060],Limnimétrica,Convencional,Suspendida,15/03/1959,15/11/1971,1350,"5.733333333","-76.36666667",Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,Atrato,,
