CLIMA,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
Extremadamente frío húmedo,7,7,186.792266591565,6700.51780755462,6513.72554096306,16066.9440885067,2295.27772692953,1010.35863078774,2588.47113938621,186.792266591565,186.792266591565,452.252949981061,3632.38474180533,3180.13179182427
Frío seco,23,23,69.5846019583821,20660.8678125086,20591.2832105502,126403.122572799,5495.78793794777,2978.67720141293,6092.37148841957,69.5846019583821,69.5846019583821,795.971107243239,7857.64877515406,7061.67766791082
Medio húmedo,11,11,273.125739062882,14963.4591569539,14690.333417891,49173.0869953833,4470.28063594394,2854.37570627976,4296.16817969243,273.125739062882,273.125739062882,1501.29918870393,5409.43953874055,3908.14035003662
Frío húmedo,17,17,112.441405191588,35188.9484343677,35076.5070291761,131447.382202883,7732.19895311074,3134.88302592692,10201.3375728822,112.441405191588,112.441405191588,1138.54014849502,9434.67240036563,8296.13225187062
Cálido seco,19,19,132.135110870786,12775.5967723899,12643.4616615191,86249.3732314371,4539.44069639143,3222.74892609565,3448.59615636473,132.135110870786,132.135110870786,1842.50470100883,6404.27619945207,4561.77149844324
Muy frío muy húmedo,7,7,146.846313497257,18888.7252625836,18741.8789490863,52868.8862826066,7552.69804037237,4286.28930941968,7389.20016951518,146.846313497257,146.846313497257,546.562192625281,14226.9505059278,13680.3883133025
Frío muy húmedo,3,3,154.886137497345,17001.9281517841,16847.0420142868,18159.7891941712,6053.26306472373,1002.9749048897,7749.61349706362,154.886137497345,154.886137497345,578.93052119352,9002.45152833692,8423.5210071434
Medio muy húmedo,1,1,839.191262395823,839.191262395823,0,839.191262395823,839.191262395823,839.191262395823,0,839.191262395823,839.191262395823,839.191262395823,839.191262395823,0
Frío húmedo transicional seco,3,3,8644.82558572694,41043.2703661992,32398.4447804723,65499.0433859855,21833.0144619952,15810.9474340593,13895.1736108871,8644.82558572694,8644.82558572694,12227.8865098931,28427.1089001293,16199.2223902361
"Cálido seco
",1,1,538.923367398024,538.923367398024,0,538.923367398024,538.923367398024,538.923367398024,0,538.923367398024,538.923367398024,538.923367398024,538.923367398024,0
Misceláneo erosionado,1,1,337.273085554051,337.273085554051,0,337.273085554051,337.273085554051,337.273085554051,0,337.273085554051,337.273085554051,337.273085554051,337.273085554051,0
Zona urbana,1,1,37753.0556730047,37753.0556730047,0,37753.0556730047,37753.0556730047,37753.0556730047,0,37753.0556730047,37753.0556730047,37753.0556730047,37753.0556730047,0
Pantanos,1,1,172.271081842268,172.271081842268,0,172.271081842268,172.271081842268,172.271081842268,0,172.271081842268,172.271081842268,172.271081842268,172.271081842268,0
Cálido húmedo,1,1,1169.44635386519,1169.44635386519,0,1169.44635386519,1169.44635386519,1169.44635386519,0,1169.44635386519,1169.44635386519,1169.44635386519,1169.44635386519,0
Cuerpo de agua,1,1,5422.20726292834,5422.20726292834,0,5422.20726292834,5422.20726292834,5422.20726292834,0,5422.20726292834,5422.20726292834,5422.20726292834,5422.20726292834,0
